# mask_cen mask_weight
6.480677999251788606e+02 9.943302621354579429e-01
6.481788999251509722e+02 9.942065307367087268e-01
6.481991999251458765e+02 9.941169183087914529e-01
6.483326999251123652e+02 9.941335280842394928e-01
6.483699999251030022e+02 9.939464239484397945e-01
6.484052999250941411e+02 9.923845876367689556e-01
6.484244999250893216e+02 9.942012269590321250e-01
6.484698999250779252e+02 9.940854979091229282e-01
6.484811999250750887e+02 9.935772961251551072e-01
6.485738999250518191e+02 9.942724812625254316e-01
6.487539999250066103e+02 9.942893202631627458e-01
6.488171999249907458e+02 9.941683123647242493e-01
6.489218999249644639e+02 9.941810002362383436e-01
6.489758999249509088e+02 9.942646395334912013e-01
6.490993999249199078e+02 9.934869621470936440e-01
6.491333999249113731e+02 9.931017627979399354e-01
6.491544999249060766e+02 9.942227063801518661e-01
6.492196999248897100e+02 9.942847017663944964e-01
6.492867999248728665e+02 9.940325583207784144e-01
6.493579999248549939e+02 9.943827776396793050e-01
6.494307999248367196e+02 9.941732737651971519e-01
6.494492999248320757e+02 9.927237122479083409e-01
6.494869999248226122e+02 9.928199940044567517e-01
6.495072999248175165e+02 9.942379738986383275e-01
6.495574999248049153e+02 9.952254466473132721e-01
6.496777999247747175e+02 9.945342729857102881e-01
6.497526999247559161e+02 9.942833050795049088e-01
6.498439999247329979e+02 9.941997659145944688e-01
6.498675999247270738e+02 9.904204944027072965e-01
6.499302999247113348e+02 9.940953104628803549e-01
6.500734999246753887e+02 9.964811479127635430e-01
6.501048999246675066e+02 9.925409203745788611e-01
6.501191999246639170e+02 9.942318573162547413e-01
6.501840999246476258e+02 9.937769050229219303e-01
6.502176999246391915e+02 9.940517168819994476e-01
6.502307999246359032e+02 9.934848759586388800e-01
6.502778999246240801e+02 9.902305230127579350e-01
6.503196999246135874e+02 9.942055320820011310e-01
6.503711999246006599e+02 9.929185757625683673e-01
6.504236999245874813e+02 9.940759983876701344e-01
6.504647999245771643e+02 9.934286569689565471e-01
6.505169999245640611e+02 9.933308702680336832e-01
6.505357999245593419e+02 9.940664598488927473e-01
6.505793999245483974e+02 9.929144336261314097e-01
6.506183999245386076e+02 9.932965430333010604e-01
6.506423999245325831e+02 9.940721944240452634e-01
6.506648999245269351e+02 9.931449601699053886e-01
6.506743999245245504e+02 9.888399684190846139e-01
6.506923999245200321e+02 9.936934201494186381e-01
6.507553999245042178e+02 9.940919965146642889e-01
6.508139999244895080e+02 9.839409710865596459e-01
6.508309999244852406e+02 9.936428797629909271e-01
6.508721999244748986e+02 9.939061125119594831e-01
6.509022999244673429e+02 9.935703901149709472e-01
6.509422999244573020e+02 9.935761263344503602e-01
6.509907999244451275e+02 9.939484021401783220e-01
6.510144999244391784e+02 9.904968872774133626e-01
6.510342999244342082e+02 9.934104678446658010e-01
6.510572999244284347e+02 9.932876537728888566e-01
6.510807999244225357e+02 9.962203381991232565e-01
6.510896999244203016e+02 9.939434584256500171e-01
6.511126999244145281e+02 9.939143221701390862e-01
6.511268999244109636e+02 9.920284759850034328e-01
6.511388999244079514e+02 9.904490791927650362e-01
6.511745999243989900e+02 9.933906012112496686e-01
6.512113999243897524e+02 9.882375568314026859e-01
6.512378999243831004e+02 9.940993775839035429e-01
